Location	Name	Citation	Type	Date_BP	Date_error	RSL	RSL_error	RSL_min	RSL_min_error	RSL_max	RSL_max_error	ID
Caesarea	Well	(Sivan et al. 2004)	Well	1500	250	-7	16					102
Caesarea	Well	(Sivan et al. 2004)	Well	1500	250	29	16					103
Caesarea	Well	(Sivan et al. 2004)	Well	1500	250	35	16					104
Caesarea	Well	(Sivan et al. 2004)	Well	1500	250	45	16					105
Caesarea	Well	(Sivan et al. 2004)	Well	1550	100	0	16					106
Caesarea	Well	(Sivan et al. 2004)	Well	1600	50	30	16					107
Caesarea	Well	(Sivan et al. 2004)	Well	1650	100	10	16					108
Ashquelon	well	(Nir 1997)	Well	1720	94	0	18					109
Caesarea	Well	(Sivan et al. 2004)	Well	1900	50	5	16					110
Caesarea	Well	(Sivan et al. 2004)	Well	1900	50	0	16					111
Caesarea	Well	(Sivan et al. 2004)	Well	1900	50	0	16					112
Ashquelon	well	(Nir 1997)	Well	1945	68	0	18					113
Ashquelon	well	(Nir 1997)	Well	1945	68	0	18					114
Dor	Island fish pond	(Vunsh 2014)	Pool	1949	100	88	11					115
Achziv	Fishpond Channel	(Current Study)	Channel	2000	25					55	5	116
Akko	Floor of harbour installation	(Sharvit 2013)	Structure Base	2100	149					-115	5	117
Michmoret	Mevoot Yam well	(Nir 1997)	Well	2211	70	-140	18					118
Yavne Yam	Well	(Sivan et al. 2001)	Well	2250	50			-170		30		119
Michmoret	Well	(Sivan et al. 2001)	Well	2450	150			-240		-40		120
Dor	Well	(Sivan et al. 2001)(Sharon and Gilboa 2013)	Well	3000	50			-140		60		121
